x,y
-0.090157,0.030914
0.078548,-0.033922
-0.013272,0.031621
-0.040431,0.042527
-0.064717,0.056116
0.014463,-0.05731
0.01519,-0.053454
0.016661,-0.055942
0.026169,-0.055259
0.036256,-0.049735
0.050356,-0.042504
-0.0065957,0.070122
0.037244,0.087168
-0.02785,-0.035741
-0.070395,-0.0027691
0.0092498,-0.00036132
0.053926,0.006009
0.10352,0.017802
0.092591,0.067468
0.042914,-0.081194
0.070138,-0.10658
0.055803,-0.02224
0.056982,-0.036775
0.060178,-0.071085
-0.038475,-0.017924
-0.031494,-0.059244
0.050235,-0.0074361
-0.0019831,-0.0034044
-0.061682,0.015033
-0.049635,0.052228
-0.0025164,-0.041951
-0.00053539,-0.10387
0.009215,-0.16112
-0.035616,0.054459
0.036712,0.011909
0.047265,-0.016807
0.0056778,0.0015135
0.003846,-0.027318
0.0026142,-0.069447
0.0165,-0.11833
0.077417,-0.0017276
0.11684,-0.007605
0.003425,-0.065093
-0.051077,-0.071132
-0.02171,-0.055251
-0.017659,-0.12444
0.012681,0.056265
-0.01038,0.0083988
-0.044059,-0.036388
0.019861,0.087358
0.08147,0.041501
0.059245,0.011123
0.15662,0.069963
0.030508,0.11875
-0.031738,-0.12565
0.13865,0.061356
-0.0077398,-0.13824
0.050801,-0.097706
-0.064634,-0.086968
-0.13561,-0.14878
0.14547,0.11034
0.12653,0.038753
0.042789,-0.073078
0.081208,-0.16814
0.13412,-0.093399
0.093535,0.072545
-0.10017,0.044027
0.056809,0.02491
0.071202,-0.016882
-0.048858,-0.0020307
0.038585,0.025449
0.017643,-0.0010184
-0.011557,-0.012814
-0.077648,-0.016383
-0.05468,-0.046175
-0.088067,-0.034532
-0.030309,-0.0081133
-0.10689,0.00543
-0.0569,0.021032
-0.16841,0.056395
0.006183,0.16613
0.099134,0.13701
-0.0038126,0.12258
0.094632,0.052249
-0.041011,0.08625
0.028197,0.11704
0.047551,-0.0060346
0.069856,-0.0014783
0.063321,0.0051184
0.041576,0.015702
0.010526,0.0092185
-0.021661,-0.0044019
-0.062472,-0.021024
-0.04306,0.016527
-0.086842,-0.037638
0.0094139,-0.060326
0.0076038,-0.0094854
0.0089336,-0.092182
0.042289,0.016935
0.10924,0.0027778
-0.1379,-0.013005
0.050644,-0.081185
-0.003232,0.016597
0.032407,-0.016299
0.042458,-0.047795
-0.0057097,0.049504
-0.0072816,0.026407
0.0030354,0.017423
0.0089453,0.012127
0.019153,0.021414
0.033198,0.041289
0.034139,0.06495
0.039932,0.082065
-0.082103,-0.00929
0.043922,-0.018383
0.035818,-0.012543
0.037521,0.0075873
0.029686,0.029174
0.02173,0.048239
0.013759,0.062678
-0.00051817,0.091332
-0.026253,0.12161
0.040044,0.01803
0.0037655,0.048344
-0.02421,0.079115
0.007862,-0.021959
0.023696,0.0060065
0.049489,0.043698
